seller_type,bedroom,layout_type,property_type,price,area,furnish_type,bathroom,city
OWNER,1,RK,Studio Apartment,7350,210,Semi-Furnished,1,Ahmedabad
OWNER,3,BHK,Apartment,22000,1900,Unfurnished,3,Ahmedabad
OWNER,2,BHK,Independent House,18000,1600,Furnished,2,Ahmedabad
OWNER,1,BHK,Apartment,8500,570,Unfurnished,1,Ahmedabad
OWNER,1,RK,Studio Apartment,6000,180,Semi-Furnished,1,Ahmedabad
OWNER,2,BHK,Apartment,12000,1200,Semi-Furnished,2,Ahmedabad
OWNER,4,BHK,Independent House,38500,3500,Furnished,4,Ahmedabad
OWNER,1,RK,Studio Apartment,6000,400,Semi-Furnished,1,Ahmedabad
OWNER,2,BHK,Apartment,15000,990,Unfurnished,2,Ahmedabad
OWNER,2,BHK,Independent House,6500,900,Unfurnished,1,Ahmedabad
AGENT,1,BHK,Apartment,13500,1000,Semi-Furnished,2,Ahmedabad
OWNER,1,BHK,Independent House,8000,160,Furnished,1,Ahmedabad
AGENT,3,BHK,Apartment,20000,1800,Semi-Furnished,3,Ahmedabad
OWNER,1,BHK,Independent House,5000,200,Semi-Furnished,1,Ahmedabad
OWNER,2,BHK,Independent Floor,16000,1300,Unfurnished,2,Ahmedabad
OWNER,2,BHK,Apartment,25000,1285,Furnished,2,Ahmedabad
OWNER,3,BHK,Apartment,20000,1455,Unfurnished,3,Ahmedabad
OWNER,1,BHK,Apartment,11000,650,Semi-Furnished,1,Ahmedabad
OWNER,1,BHK,Apartment,10500,630,Semi-Furnished,1,Ahmedabad
OWNER,1,RK,Studio Apartment,8000,300,Semi-Furnished,1,Ahmedabad
OWNER,3,BHK,Apartment,22000,1800,Unfurnished,3,Ahmedabad
OWNER,3,BHK,Villa,23000,1800,Semi-Furnished,3,Ahmedabad
OWNER,1,BHK,Apartment,11000,186,Furnished,1,Ahmedabad
OWNER,3,BHK,Independent Floor,8500,800,Furnished,3,Ahmedabad
OWNER,1,BHK,Independent House,12500,1000,Semi-Furnished,1,Ahmedabad
OWNER,1,BHK,Independent House,9000,625,Unfurnished,1,Ahmedabad
OWNER,2,BHK,Independent Floor,16000,1090,Semi-Furnished,2,Ahmedabad
OWNER,3,BHK,Independent House,17000,1575,Unfurnished,2,Ahmedabad
OWNER,1,RK,Studio Apartment,15000,400,Furnished,1,Ahmedabad
